"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"953",NA,9,8,NA,NA,6,NA,NA,NA,NA,NA,NA
"954",3,7.5,6,5,NA,6.5,5,NA,NA,NA,NA,NA
"955",8.5,8,6,6.5,7,7.5,7.5,8.5,9,8,9.5,9.5
"956",6.5,8,7.5,6,6,2.5,7,7.5,6,7.5,9,9
"957",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958",NA,3.5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"959",3,6,6,3.5,NA,8.5,4,NA,NA,NA,NA,NA
"960",NA,9,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"961",6.5,9,7,5,NA,7,6,NA,7.5,9,7,NA
"962",NA,6,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"963",NA,6,6,NA,NA,6,NA,5,NA,NA,NA,NA
"964",NA,8.5,6.5,NA,7.5,6,NA,NA,NA,NA,NA,NA
"965",NA,9,8.5,NA,8,7.5,NA,NA,NA,NA,NA,NA
"966",5,8.5,6,6,NA,9,6.5,NA,6,6,4,NA
"967",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968",NA,NA,NA,NA,8.5,7,NA,NA,NA,NA,NA,NA
"969",NA,7,5,4.5,NA,6,6.5,NA,NA,NA,NA,NA
"970",7,9.5,9,8.5,10,8,8.5,10,9,9.5,NA,NA
"971",NA,9.5,6,NA,8,8,NA,NA,NA,NA,NA,NA
"972",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973",NA,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"974",6,8,7,NA,NA,6,6,NA,NA,5,NA,NA
"975",NA,6,4.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA
"976",NA,9.5,10,9,NA,10,9,NA,NA,8.5,NA,NA
"977",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978",NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"979",NA,NA,NA,NA,9,NA,NA,7,NA,NA,9.5,NA
"980",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,10,NA
"981",NA,NA,3.5,NA,8,NA,NA,NA,5,NA,8.5,8.5
"982",NA,9,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"983",6,NA,6,6,NA,9,6.5,NA,NA,3.5,NA,NA
"984",NA,NA,NA,NA,8,NA,NA,5,8,NA,6.5,NA
"985",4.5,6,6,6,NA,6.5,6,NA,NA,5,NA,NA
"986",3,NA,6,NA,6,NA,NA,4,7,NA,NA,NA
"987",NA,NA,NA,NA,4.5,NA,3.5,NA,NA,3,NA,NA
"988",NA,NA,NA,NA,6.5,NA,NA,NA,4.5,NA,NA,NA
"989",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"990",NA,8,6.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"991",NA,8,1,NA,NA,5,NA,NA,NA,NA,NA,NA
"992",7,NA,9.5,8.5,NA,9,7.5,NA,NA,5,NA,NA
"993",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"995",6.5,9,7,7,NA,8.5,5,NA,NA,3.5,NA,NA
"996",NA,9,8,NA,NA,8.5,7.5,NA,NA,NA,NA,NA
"997",NA,NA,NA,NA,8,5,NA,NA,8.5,NA,6,NA
"998",NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,9,NA
"999",6,9,8,6,NA,8.5,6,NA,NA,3,NA,NA
"1000",NA,7.5,9.5,NA,NA,9,NA,NA,NA,NA,NA,NA
"1001",NA,8.5,6.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1002",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"1003",NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004",NA,9,7,7,NA,5,6,NA,NA,4.5,NA,NA
"1005",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1006",NA,9,3.5,NA,NA,6,2,NA,NA,NA,NA,NA
"1007",6,7,6,7,NA,7,5,NA,NA,5,NA,NA
"1008",NA,8,6.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1009",NA,8,7.5,NA,NA,9,NA,NA,NA,NA,NA,NA
"1010",1.5,6.5,3.5,2,NA,5,3.5,NA,NA,NA,NA,NA
