"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"363",NA,7,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"364",NA,NA,6.5,NA,NA,NA,NA,NA,7.5,6.5,NA,NA
"365",6,8,6,NA,8,NA,NA,NA,6.5,8.5,6.5,NA
"366",NA,NA,6,NA,NA,NA,NA,8,7,4.5,2.5,NA
"367",NA,NA,6,NA,NA,NA,NA,8,7,4.5,2.5,NA
"368",6.5,NA,6,NA,NA,NA,NA,7.5,6,NA,1.5,NA
"369",NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",NA,NA,6,NA,NA,NA,NA,NA,7.5,9,NA,NA
"372",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA
"374",NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",6,NA,4.5,6.5,7,6.5,1,7,6,NA,3,NA
"376",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"377",NA,9,7.5,NA,NA,7.5,NA,6.5,NA,NA,NA,NA
"378",NA,NA,6.5,NA,NA,NA,NA,7,NA,NA,NA,NA
"379",NA,NA,9,NA,NA,NA,NA,NA,10,8.5,NA,NA
"380",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",NA,NA,6,NA,NA,NA,NA,NA,NA,4,NA,NA
"383",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",NA,NA,NA,NA,7.5,NA,NA,NA,8,NA,NA,NA
"386",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",NA,NA,6,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"388",NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",NA,NA,6,NA,7,9,9,NA,6.5,2.5,5,NA
"391",NA,NA,6,NA,7,9,9,NA,6.5,2.5,5,NA
"392",NA,NA,7,7.5,NA,NA,6,NA,NA,8,NA,NA
"393",NA,NA,6.5,NA,NA,NA,NA,NA,7,6.5,NA,NA
"394",7.5,9.5,NA,8,9.5,NA,7.5,9,7.5,3.5,9.5,8.5
"395",NA,NA,8,NA,NA,NA,NA,NA,9,9,NA,NA
"396",NA,NA,7,NA,NA,8,8.5,NA,7,6.5,NA,NA
"397",NA,NA,6,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"398",NA,NA,2.5,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"399",NA,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"400",NA,NA,8,NA,NA,NA,NA,NA,6,4,NA,NA
"401",NA,NA,8,NA,NA,NA,NA,NA,6,6.5,NA,NA
"402",NA,NA,7.5,NA,NA,NA,NA,NA,6,6,7,NA
"403",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",NA,8.5,7.5,NA,NA,8.5,6,NA,NA,NA,NA,NA
"406",NA,NA,7,NA,NA,NA,NA,8,NA,NA,NA,NA
"407",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",NA,NA,6.5,NA,NA,NA,NA,6,6,6,6,NA
"409",NA,NA,10,NA,9.5,NA,NA,NA,NA,NA,NA,NA
"410",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",NA,NA,6.5,NA,NA,NA,NA,5,NA,NA,NA,NA
"412",NA,NA,6,NA,NA,8.5,NA,7.5,NA,NA,NA,NA
"413",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",NA,8.5,5,NA,NA,2.5,4,NA,NA,NA,NA,NA
"416",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",NA,NA,9,NA,NA,NA,NA,9,7.5,NA,7.5,NA
"418",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",NA,NA,8.5,NA,NA,NA,NA,NA,9.5,6,NA,NA
"422",NA,7.5,7,NA,NA,6,NA,NA,NA,NA,NA,NA
"423",NA,NA,6.5,NA,NA,NA,NA,6.5,NA,NA,NA,NA
"424",NA,9.5,7.5,NA,NA,9,NA,6,NA,NA,NA,NA
"425",NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",7.5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"428",NA,6.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"429",NA,7,1.5,NA,7,8.5,NA,NA,NA,NA,NA,NA
"430",NA,NA,8,NA,NA,NA,NA,NA,7.5,9,NA,NA
"431",10,NA,8,NA,9,NA,8.5,9,8,8.5,9,NA
"432",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"434",NA,8,6,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"435",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",NA,8,8.5,NA,8.5,8.5,NA,NA,NA,NA,NA,NA
"437",7,8.5,6,7.5,4,7,7.5,5,7.5,7,NA,NA
"438",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"441",NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"444",NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"446",5,7,7.5,7,NA,6,8.5,NA,NA,4.5,NA,NA
"447",NA,NA,7.5,NA,NA,NA,NA,7,6,7.5,5,5
"448",NA,NA,7.5,NA,NA,NA,NA,7,6,7.5,5,5
"449",NA,NA,7.5,NA,NA,NA,NA,7,6,7.5,5,5
"450",NA,NA,7.5,NA,NA,NA,NA,7,6,7.5,5,5
"451",3.5,NA,6,NA,5,NA,3.5,NA,3,2,NA,NA
"452",6,8,8,NA,6.5,5,5,7.5,7,NA,NA,NA
"453",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"454",NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"456",NA,NA,5,NA,NA,NA,NA,8.5,NA,NA,NA,NA
"457",9,10,9,7,8.5,9.5,9,9,9.5,8.5,NA,NA
"458",6,8.5,8,8,9,9,7,7.5,9.5,6.5,9,8.5
"459",7,8.5,4.5,6.5,8,8.5,6,5,7,7.5,9,9
"460",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461",NA,6.5,6,NA,7.5,6.5,NA,NA,NA,NA,NA,NA
"462",NA,7.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"463",NA,8.5,6,NA,6,6,4.5,NA,NA,NA,NA,NA
"464",NA,6.5,8,NA,6,7,NA,NA,NA,NA,NA,NA
"465",6,8.5,6,6,NA,8,6,NA,NA,6,NA,NA
"466",7,8.5,7.5,NA,NA,7,7.5,NA,NA,6,NA,NA
"467",NA,6,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"468",9.5,7.5,7,7,6,6.5,7,7,9,3,8.5,8.5
"469",NA,7.5,6.5,NA,6.5,7.5,NA,NA,NA,NA,NA,NA
"470",7.5,NA,8,7.5,8,NA,6.5,5,8,3,6.5,NA
"471",4.5,6,NA,6,NA,6.5,6,NA,NA,NA,NA,NA
"472",7.5,8,7.5,NA,8,7,NA,NA,9,NA,NA,NA
"473",NA,8,7,6,4.5,3,4.5,NA,4.5,NA,5.5,3
"474",NA,7.5,6.5,NA,4,6.5,NA,NA,NA,NA,NA,NA
"475",NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"476",NA,6,3.5,NA,NA,2,NA,NA,NA,NA,NA,NA
"477",5,9,5,NA,NA,6,6,NA,NA,NA,NA,NA
"478",7.5,8.5,8.5,7.5,NA,10,8.5,8,7,7,9,9
"479",NA,9.5,9.5,NA,9.5,9.5,NA,NA,NA,NA,NA,NA
"480",NA,6,5,NA,NA,6,NA,NA,NA,NA,NA,NA
"481",8.5,9,8,NA,9.5,8.5,6,NA,NA,NA,NA,NA
"482",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"483",NA,9,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"484",NA,8.5,9,NA,NA,8,NA,NA,NA,NA,NA,NA
"485",NA,8.5,8.5,NA,9.5,6.5,NA,NA,NA,NA,NA,NA
"486",NA,5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"487",NA,7.5,7,NA,7,7,NA,NA,NA,NA,NA,NA
"488",NA,8.5,6,NA,6.5,6,NA,NA,NA,NA,NA,NA
"489",NA,6,NA,3.5,NA,3.5,NA,NA,NA,NA,NA,NA
"490",NA,9,8.5,NA,9.5,6.5,NA,NA,NA,NA,8.5,NA
"491",NA,9,7.5,NA,7,5,NA,NA,NA,NA,NA,NA
"492",NA,7,5,NA,4.5,2.5,NA,NA,NA,NA,NA,NA
"493",NA,9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"494",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"495",NA,9,7.5,NA,8.5,9,NA,NA,NA,NA,NA,NA
"496",NA,6.5,6,NA,NA,6,NA,5,NA,NA,NA,NA
"497",6.5,9,6.5,7,9,6,7.5,8.5,7,4.5,7.5,NA
"498",NA,10,8.5,NA,NA,9,NA,8,NA,NA,NA,NA
"499",NA,9.5,9.5,NA,NA,7,NA,7.5,NA,NA,NA,NA
"500",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",7.5,10,10,8,9.5,9,8.5,7.5,9.5,8,9.5,9.5
"503",NA,9,7.5,4.5,NA,4,5,NA,NA,NA,NA,NA
"504",NA,7.5,5,3.5,NA,4.5,4.5,NA,NA,NA,NA,NA
"505",NA,7,7,NA,7,6,NA,NA,NA,NA,NA,NA
"506",NA,9,8,NA,NA,8,NA,7,NA,NA,NA,NA
"507",2,7.5,6.5,6,NA,5,6.5,NA,NA,3,NA,NA
"508",NA,6,6,NA,NA,6,4,NA,NA,NA,NA,NA
"509",NA,7,6,NA,6,5,NA,NA,NA,NA,NA,NA
"510",NA,8,6.5,NA,6,5,NA,NA,NA,NA,4,NA
"511",NA,9.5,9,NA,8.5,8.5,NA,NA,NA,NA,NA,NA
"512",NA,7.5,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"513",6,NA,NA,7.5,NA,NA,7.5,NA,3.5,6.5,6,6
"514",NA,2,3,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"515",NA,5,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"516",NA,6.5,6,NA,NA,7,NA,4.5,NA,NA,NA,NA
"517",NA,7.5,5,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"518",NA,7.5,3.5,3.5,NA,4.5,5,NA,NA,NA,NA,NA
"519",NA,8.5,7.5,NA,7.5,9.5,NA,NA,NA,NA,NA,NA
"520",7,8.5,8.5,8,8.5,9,8,7,7.5,9,9,9
"521",NA,6.5,4,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"522",NA,6,5,NA,NA,8,NA,7.5,NA,NA,NA,NA
"523",3,7,NA,NA,NA,6,8,NA,NA,NA,NA,NA
"524",8.5,9.5,10,9,9.5,9,9.5,8.5,9.5,6.5,10,10
"525",NA,7.5,7,NA,8,6,NA,NA,NA,NA,NA,NA
"526",NA,8.5,7,NA,NA,6.5,NA,7,NA,NA,NA,NA
"527",6,8,6,7.5,NA,7.5,7,NA,NA,6,NA,NA
"528",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"529",10,10,10,9,NA,9,9,NA,9,7.5,7.5,NA
"530",7.5,NA,7,NA,8,NA,6.5,NA,8,6,7.5,7.5
"531",NA,9.5,9.5,NA,10,8.5,NA,NA,NA,NA,NA,NA
"532",NA,8.5,9,NA,9.5,8.5,NA,NA,NA,NA,NA,NA
"533",NA,7,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"534",NA,8.5,6.5,NA,7.5,7,NA,NA,NA,NA,NA,NA
"535",6.5,8,6,6.5,7.5,6,6,NA,6.5,3.5,NA,NA
"536",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA
"538",NA,8.5,7,NA,NA,6,NA,NA,NA,NA,NA,NA
"539",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA
"541",NA,NA,NA,NA,NA,8.5,8,NA,NA,NA,NA,NA
"542",NA,6,6,NA,6,6,NA,NA,NA,NA,NA,NA
"543",8,8,9.5,8,9,8.5,8.5,8,9,7.5,8,7.5
"544",8.5,8.5,8.5,NA,NA,9,NA,NA,6.5,7,7.5,7.5
"545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"546",6,9.2,8.5,7.5,NA,7.5,6.5,NA,NA,4.5,NA,NA
"547",4.5,7,6,6.5,NA,5,6,NA,NA,NA,NA,NA
"548",NA,8.5,8,NA,6.5,6.5,NA,NA,NA,NA,NA,NA
"549",NA,6,2,NA,NA,2,NA,NA,NA,NA,NA,NA
"550",NA,6,3,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"551",7,9,NA,7,8.5,7,8,8,9.5,8,8,NA
"552",2.5,4.5,4,NA,NA,3,3,NA,NA,4,NA,NA
"553",8.5,10,6,8,NA,8.5,8,8.5,7,5,NA,NA
"554",5,9,5,NA,NA,6,4,NA,NA,3,NA,NA
"555",NA,9,8.5,NA,9,6,NA,NA,NA,NA,NA,NA
"556",8,9.5,9,8.5,8.5,8.5,8,7,9,7.5,9.5,9.5
"557",NA,8.5,7,NA,NA,4,NA,6.5,NA,NA,NA,NA
"558",NA,7.5,7,NA,6.5,5,NA,NA,NA,NA,NA,NA
"559",6.5,8.5,6,6.5,7,8,9,7.5,6.5,8.5,6.5,6.5
"560",NA,10,9,NA,10,10,NA,NA,NA,NA,NA,NA
"561",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562",NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"563",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564",NA,8,3,NA,NA,4,NA,NA,NA,NA,NA,NA
"565",NA,7,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"566",NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567",NA,7.5,5,NA,6.5,6,NA,NA,NA,NA,NA,NA
"568",9,10,10,7,9.5,9.5,10,8.5,9.5,7,8.5,NA
"569",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",6,9.5,7,7.5,9,7.5,6,7,8,6.5,8.5,8.5
"571",NA,9.5,9.5,NA,8.5,9,NA,NA,NA,NA,NA,NA
"572",7,8,4,8,8.5,4,5,8,8.5,9,6.5,NA
"573",NA,8.5,7,NA,6,6,NA,NA,NA,NA,NA,NA
"574",NA,7.5,7.5,NA,NA,7,NA,7,NA,NA,NA,NA
"575",NA,8,8.5,NA,6.5,6,NA,NA,NA,NA,NA,NA
"576",8.5,9.5,9.5,7.5,9.5,9,9.5,8,9,9.5,9.5,9.5
"577",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578",NA,6.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"579",NA,7,8,NA,8.5,9,NA,NA,NA,NA,NA,NA
"580",NA,9.5,5,NA,NA,6,NA,NA,NA,NA,NA,NA
"581",6,7.5,6.5,8,7,7.5,4,8,8,9,7.5,NA
"582",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583",3.5,6.5,5,NA,NA,6,6,NA,NA,NA,NA,NA
"584",6.5,8,8.5,7,10,7.5,8,6.5,7.5,4,8,NA
"585",NA,7.5,4,NA,8,4.5,NA,NA,NA,NA,NA,NA
"586",NA,8.5,7.5,NA,9,7,NA,NA,NA,NA,NA,NA
"587",8.5,10,8.5,8,10,6,7.5,9.5,9.5,3.5,9.5,9.5
"588",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",6,9.5,8,8.5,8.5,7,7,7,8,3,9,9
"590",NA,6.5,6,NA,6,7,NA,NA,NA,NA,NA,NA
"591",7,9.5,6.5,6.5,8,8,8.5,7,8,8.5,6.5,NA
"592",NA,9,8.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"593",NA,8.5,7.5,NA,7.5,4.5,NA,5,NA,NA,NA,NA
"594",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",7.5,9,7.5,9,9.5,7.5,8.5,8.5,9,6,8.5,8
"596",10,10,10,9,10,10,9,9.5,10,9,9.5,NA
"597",NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"598",NA,NA,NA,NA,NA,NA,6,NA,NA,4,NA,NA
"599",9,9,9.5,9,9,9.5,9,8,9.5,10,9.5,NA
"600",NA,7,4,NA,NA,8,NA,5,NA,NA,NA,NA
"601",NA,9.5,8.5,NA,8,6,NA,NA,NA,NA,NA,NA
"602",NA,8,6,NA,NA,6.5,NA,7,NA,NA,NA,NA
"603",6,9.5,7.5,7.5,8,7,7,8.5,7,1.5,7,NA
"604",NA,9,8.5,NA,8.5,7,NA,NA,NA,NA,NA,NA
"605",NA,2.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"606",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607",NA,10,9.5,NA,8.5,9.5,NA,NA,NA,NA,NA,NA
"608",NA,4.5,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"609",NA,7,3.5,4,NA,6.5,5,NA,NA,NA,NA,NA
"610",NA,9,5,NA,4.5,3.5,NA,NA,NA,NA,NA,NA
"611",NA,8.5,5,NA,6.5,6.5,NA,NA,NA,NA,NA,NA
"612",NA,9.5,8.5,NA,8,8.5,NA,NA,7,NA,NA,NA
"613",NA,10,9.5,NA,NA,7,NA,7,NA,NA,NA,NA
"614",NA,6,2,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"615",NA,6.5,6,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"616",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",NA,7.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"618",NA,7.5,NA,NA,7.5,7,NA,NA,NA,NA,NA,NA
"619",NA,7,7.5,NA,8,4.5,NA,NA,NA,NA,NA,NA
"620",NA,9,8,NA,7,6.5,4,6.5,NA,NA,NA,NA
"621",6.5,9.5,7.5,8,6.5,9.5,7.5,7.5,9.5,4.5,9.5,NA
"622",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"623",NA,7.5,6,NA,1.5,6,NA,NA,NA,NA,NA,NA
"624",NA,8.5,3,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"625",NA,6,1.5,NA,NA,3,NA,NA,NA,NA,NA,NA
"626",NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"627",8.5,9.5,4.5,8,8.5,9.5,8,8,7.5,4,8,NA
"628",NA,9,9,NA,9.5,9,NA,NA,NA,NA,NA,NA
"629",5,8,7.5,6.5,7,6.5,7.5,7,7,8.5,8,8
"630",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"632",3,8,6,6.5,NA,7.5,6,NA,NA,NA,NA,NA
"633",8,9.5,8.5,8,9,8,8,8,9.5,7,8,8
"634",NA,7,2.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"635",8,10,9,7,9,9.5,8.5,8,8.5,NA,10,NA
"636",NA,5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"637",NA,6.5,7.5,NA,6,7.5,NA,NA,NA,NA,NA,NA
"638",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"639",NA,8.5,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"640",NA,NA,7.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA
"641",6.5,9,6,7,6,8,7,7,6.5,7,6.5,6.5
"642",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643",NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA
"644",NA,6.5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"645",2,6,4,6,NA,4.5,6,NA,2.5,NA,NA,NA
"646",NA,9.5,8,NA,NA,7,NA,6.5,NA,NA,NA,NA
"647",NA,8.5,8.5,NA,10,9,NA,NA,NA,NA,NA,NA
"648",NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649",6.5,9.5,9,8,8.5,9.5,8,NA,NA,NA,NA,NA
"650",NA,7,6,NA,NA,9.5,NA,6.5,NA,NA,NA,NA
"651",NA,7.5,5,NA,NA,4,NA,NA,NA,NA,NA,NA
"652",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",NA,8,6.5,NA,6,6,NA,NA,NA,NA,NA,NA
"654",NA,9.5,9,NA,NA,8.5,NA,8,NA,NA,NA,NA
"655",7,8,6.5,7,8,7,6.5,7,6.5,7,8,NA
"656",NA,7.5,4.5,NA,6,7,NA,NA,NA,NA,NA,NA
"657",6,10,7,7,8.5,7,5,7,7.5,4,8.5,8.5
"658",NA,6.5,4,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"659",NA,7,4,NA,NA,6,NA,NA,NA,NA,NA,NA
"660",NA,10,9.5,NA,9,8.5,NA,NA,NA,NA,NA,NA
"661",NA,8,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"662",NA,7,5,NA,NA,5,5,NA,NA,NA,NA,NA
"663",4,10,9,NA,NA,8,9,NA,NA,NA,NA,NA
"664",8,9.5,7.5,8,9.5,10,9,7,9,6.5,9.5,NA
"665",NA,6,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"666",NA,7.5,6,NA,6,6,NA,NA,NA,NA,NA,NA
"667",1.5,6,2,4.5,NA,5,2.5,NA,NA,3,NA,NA
"668",NA,8,8,NA,NA,6,NA,NA,NA,NA,NA,NA
"669",NA,7,6.5,NA,NA,6,NA,7,NA,NA,NA,NA
"670",NA,8.5,7.5,NA,7.5,7.5,NA,NA,NA,NA,NA,NA
"671",NA,8.5,8,NA,NA,6.5,NA,7.5,NA,NA,NA,NA
"672",NA,8.5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"673",NA,6,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"674",NA,8,4.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"675",NA,8.5,5,NA,NA,7,NA,7,NA,NA,NA,NA
"676",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"677",NA,6,4,NA,7,6,NA,NA,NA,NA,NA,NA
"678",NA,9,8.5,NA,NA,8,NA,8,NA,NA,NA,NA
"679",NA,6.5,6,NA,8.5,6,NA,NA,NA,NA,NA,NA
"680",NA,9.5,9,NA,NA,9.5,NA,8,NA,NA,NA,NA
"681",NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"682",6,9,6,7.5,7.5,4,6.5,7.5,6.5,6,6,NA
"683",NA,9.5,9,NA,9.5,9,NA,8.5,NA,NA,NA,NA
"684",6,8.5,6.5,6.5,7.5,6,7.5,7,6.5,7.5,5,NA
"685",NA,9.5,9,NA,9,8.5,NA,NA,NA,NA,NA,NA
"686",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687",6,8,6,6.5,7.5,4,5,8,6,9,NA,NA
"688",6,7,2,6.5,6,6,5,7,6,7,6,NA
"689",NA,6,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"690",NA,8,7.5,NA,NA,5,NA,NA,NA,NA,NA,NA
"691",8,9.5,6.5,6,10,9.5,7.5,8,9.5,4.5,9,8.5
"692",8,9.5,9.5,8,9.5,9,8,8,8.5,6.5,9,8.5
"693",6,8,5.5,6,6.5,6.5,6.5,7.5,6,5,5,NA
"694",NA,8.5,8,NA,9,7.5,NA,NA,8.5,NA,NA,NA
"695",NA,6,4.5,NA,2.5,6,NA,NA,NA,NA,NA,NA
"696",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697",NA,8,6,NA,6.5,7.5,NA,NA,NA,NA,NA,NA
"698",NA,9,9.5,NA,9,8,NA,NA,NA,NA,NA,NA
"699",NA,10,9,NA,8,7.5,NA,NA,NA,NA,NA,NA
"700",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",NA,9,6.5,NA,6,6,NA,NA,NA,NA,NA,NA
"702",6,5,2,5,NA,4.5,3.5,NA,NA,NA,NA,NA
"703",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704",NA,5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"705",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"706",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA
"707",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"708",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA
"709",NA,9,8,NA,NA,7,NA,5,NA,NA,NA,NA
"710",NA,6.5,5,NA,NA,8,NA,6.5,NA,NA,NA,NA
"711",NA,NA,NA,NA,NA,NA,8,NA,7.5,6,NA,NA
"712",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",NA,8,6.5,NA,6.5,7,NA,NA,NA,NA,NA,NA
"715",6.5,8.5,6,7.5,8.5,6,7.5,7,7,8.5,6.5,NA
"716",6,8.5,8,7,8.5,8.5,7,8,9,7.5,8.5,8.5
"717",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718",NA,7,2.5,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"719",NA,6.5,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"720",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",NA,9.5,7.5,NA,7.5,7.5,NA,NA,NA,NA,NA,NA
"722",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA
"723",5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"724",NA,7,7,NA,7,7,NA,NA,NA,NA,NA,NA
